BorCode,WardName,WardCode,WardType,Assault_09_11
00AA,Aldersgate,00AAFA,Prospering Metropolitan,10
00AA,Aldgate,00AAFB,Prospering Metropolitan,0
00AA,Bassishaw,00AAFC,Prospering Metropolitan,0
00AA,Billingsgate,00AAFD,Prospering Metropolitan,0
00AA,Bishopsgate,00AAFE,Prospering Metropolitan,188
00AA,Bread Street,00AAFF,Prospering Metropolitan,0
00AA,Bridge & Bridge Without,00AAFG,Prospering Metropolitan,0
00AA,Broad Street,00AAFH,Prospering Metropolitan,0
00AA,Candlewick,00AAFJ,Prospering Metropolitan,0
00AA,Castle Baynard,00AAFK,Prospering Metropolitan,0
00AA,Cheap,00AAFL,Prospering Metropolitan,0
00AA,Coleman Street,00AAFM,Prospering Metropolitan,0
00AA,Cordwainer,00AAFN,Prospering Metropolitan,0
00AA,Cornhill,00AAFP,Prospering Metropolitan,0
00AA,Cripplegate,00AAFQ,Prospering Metropolitan,18
00AA,Dowgate,00AAFR,Prospering Metropolitan,0
00AA,Farringdon Within,00AAFS,Prospering Metropolitan,22
00AA,Farringdon Without,00AAFT,Prospering Metropolitan,63
00AA,Langbourn,00AAFU,Prospering Metropolitan,0
00AA,Lime Street,00AAFW,Prospering Metropolitan,0
00AA,Portsoken,00AAFX,Multicultural Metropolitan,50
00AA,Queenhithe,00AAFY,Multicultural Metropolitan,21
00AA,Tower,00AAFZ,Multicultural Metropolitan,28
00AA,Vintry,00AAGA,Multicultural Metropolitan,0
00AA,Walbrook,00AAGB,Multicultural Metropolitan,53
00AB,Abbey,00ABFX,Multicultural Metropolitan,374
00AB,Alibon,00ABFY,Traditional Manufacturing,155
00AB,Becontree,00ABFZ,Suburbs and Small Towns,144
00AB,Chadwell Heath,00ABGA,Suburbs and Small Towns,119
00AB,Eastbrook,00ABGB,Suburbs and Small Towns,128
00AB,Eastbury,00ABGC,Suburbs and Small Towns,161
00AB,Gascoigne,00ABGD,Multicultural Metropolitan,153
00AB,Goresbrook,00ABGE,Traditional Manufacturing,130
00AB,Heath,00ABGF,Traditional Manufacturing,193
00AB,Longbridge,00ABGG,Suburbs and Small Towns,114
00AB,Mayesbrook,00ABGH,Traditional Manufacturing,151
00AB,Parsloes,00ABGJ,Traditional Manufacturing,125
00AB,River,00ABGK,Industrial Hinterlands,128
00AB,Thames,00ABGL,Traditional Manufacturing,213
00AB,Valence,00ABGM,Traditional Manufacturing,105
00AB,Village,00ABGN,Suburbs and Small Towns,196
00AB,Whalebone,00ABGP,Suburbs and Small Towns,140
00AC,Brunswick Park,00ACFX,Suburbs and Small Towns,102
00AC,Burnt Oak,00ACFY,Multicultural Metropolitan,237
00AC,Childs Hill,00ACFZ,Prospering Metropolitan,283
00AC,Colindale,00ACGA,Multicultural Metropolitan,253
00AC,Coppetts,00ACGB,Prospering Metropolitan,178
00AC,East Barnet,00ACGC,Suburbs and Small Towns,125
00AC,East Finchley,00ACGD,Prospering Metropolitan,138
00AC,Edgware,00ACGE,Suburbs and Small Towns,200
00AC,Finchley Church End,00ACGF,Prospering Metropolitan,94
00AC,Garden Suburb,00ACGG,Prospering Metropolitan,66
00AC,Golders Green,00ACGH,Suburbs and Small Towns,175
00AC,Hale,00ACGJ,Suburbs and Small Towns,109
00AC,Hendon,00ACGK,Prospering Metropolitan,164
00AC,High Barnet,00ACGL,Suburbs and Small Towns,119
00AC,Mill Hill,00ACGM,Suburbs and Small Towns,146
00AC,Oakleigh,00ACGN,Suburbs and Small Towns,107
00AC,Totteridge,00ACGP,Suburbs and Small Towns,87
00AC,Underhill,00ACGQ,Suburbs and Small Towns,138
00AC,West Finchley,00ACGR,Prospering Metropolitan,150
00AC,West Hendon,00ACGS,Multicultural Metropolitan,205
00AC,Woodhouse,00ACGT,Suburbs and Small Towns,172
00AD,Barnehurst,00ADGA,Suburbs and Small Towns,80
00AD,Belvedere,00ADGB,Suburbs and Small Towns,144
00AD,Blackfen and Lamorbey,00ADGC,Suburbs and Small Towns,44
00AD,Blendon and Penhill,00ADGD,Suburbs and Small Towns,48
00AD,Brampton,00ADGE,Suburbs and Small Towns,28
00AD,Christchurch,00ADGF,Suburbs and Small Towns,175
00AD,Colyers,00ADGG,Suburbs and Small Towns,130
00AD,Cray Meadows,00ADGJ,Suburbs and Small Towns,59
00AD,Crayford,00ADGH,Suburbs and Small Towns,108
00AD,Danson Park,00ADGK,Suburbs and Small Towns,83
00AD,East Wickham,00ADGL,Suburbs and Small Towns,105
00AD,Erith,00ADGM,Suburbs and Small Towns,182
00AD,Falconwood and Welling,00ADGN,Suburbs and Small Towns,67
00AD,Lesnes Abbey,00ADGP,Suburbs and Small Towns,114
00AD,Longlands,00ADGQ,Suburbs and Small Towns,74
00AD,North End,00ADGR,Industrial Hinterlands,221
00AD,Northumberland Heath,00ADGS,Suburbs and Small Towns,71
00AD,Sidcup,00ADGW,Suburbs and Small Towns,82
00AD,St Mary's,00ADGT,Suburbs and Small Towns,45
00AD,St Michael's,00ADGU,Suburbs and Small Towns,66
00AD,Thamesmead East,00ADGX,Multicultural Metropolitan,194
00AE,Alperton,00AEGJ,Multicultural Metropolitan,161
00AE,Barnhill,00AEGK,Multicultural Metropolitan,143
00AE,Brondesbury Park,00AEGL,Prospering Metropolitan,123
00AE,Dollis Hill,00AEGM,Multicultural Metropolitan,133
00AE,Dudden Hill,00AEGN,Multicultural Metropolitan,213
00AE,Fryent,00AEGP,Multicultural Metropolitan,146
00AE,Harlesden,00AEGQ,Multicultural Metropolitan,371
00AE,Kensal Green,00AEGR,Multicultural Metropolitan,251
00AE,Kenton,00AEGS,Suburbs and Small Towns,76
00AE,Kilburn,00AEGT,Multicultural Metropolitan,258
00AE,Mapesbury,00AEGU,Prospering Metropolitan,210
00AE,Northwick Park,00AEGW,Suburbs and Small Towns,86
00AE,Preston,00AEGX,Multicultural Metropolitan,121
